number,url,developers,nfrs
3160,https://github.com/spring-projects/spring-boot/pull/3160,"['wilkinsona', 'izeye']",['Maintainability']
4618,https://github.com/spring-projects/spring-boot/pull/4618,['philwebb'],['Maintainability']
22164,https://github.com/spring-projects/spring-boot/pull/22164,['wilkinsona'],['Maintainability']
118,https://github.com/spring-projects/spring-boot/pull/118,['philwebb'],['Robustness']
10000,https://github.com/spring-projects/spring-boot/pull/10000,['philwebb'],['Security']
9052,https://github.com/spring-projects/spring-boot/pull/9052,['philwebb'],['Maintainability']
18166,https://github.com/spring-projects/spring-boot/pull/18166,['philwebb'],['Maintainability']
4411,https://github.com/spring-projects/spring-boot/pull/4411,['philwebb'],['Performance']
14937,https://github.com/spring-projects/spring-boot/pull/14937,['dreis2211'],['Maintainability']
5852,https://github.com/spring-projects/spring-boot/pull/5852,['izeye'],['Security']
5197,https://github.com/spring-projects/spring-boot/pull/5197,['wilkinsona'],['Maintainability']
19211,https://github.com/spring-projects/spring-boot/pull/19211,['Buzzardo'],['Maintainability']
6539,https://github.com/spring-projects/spring-boot/pull/6539,['wilkinsona'],['Maintainability']
22256,https://github.com/spring-projects/spring-boot/pull/22256,['wilkinsona'],['Robustness']
25116,https://github.com/spring-projects/spring-boot/pull/25116,"['wilkinsona', 'dreis2211']",['Maintainability']
1031,https://github.com/spring-projects/spring-boot/pull/1031,['wilkinsona'],['Performance']
19850,https://github.com/spring-projects/spring-boot/pull/19850,"['wilkinsona', 'dreis2211']",['Robustness']
12449,https://github.com/spring-projects/spring-boot/pull/12449,['philwebb'],['Robustness']
20230,https://github.com/spring-projects/spring-boot/pull/20230,['wilkinsona'],['Robustness']
6770,https://github.com/spring-projects/spring-boot/pull/6770,['philwebb'],['Maintainability']
2245,https://github.com/spring-projects/spring-boot/pull/2245,['philwebb'],['Robustness']
25726,https://github.com/spring-projects/spring-boot/pull/25726,['wilkinsona'],['Performance']
16285,https://github.com/spring-projects/spring-boot/pull/16285,['wilkinsona'],['Maintainability']
26441,https://github.com/spring-projects/spring-boot/pull/26441,"['philwebb', 'wilkinsona']",['Maintainability']
2816,https://github.com/spring-projects/spring-boot/pull/2816,"['philwebb', 'wilkinsona', 'izeye']",['Security']
31304,https://github.com/spring-projects/spring-boot/pull/31304,['wilkinsona'],['Robustness']
7851,https://github.com/spring-projects/spring-boot/pull/7851,['dreis2211'],['Performance']
14056,https://github.com/spring-projects/spring-boot/pull/14056,"['wilkinsona', 'dreis2211']",['Performance']
11439,https://github.com/spring-projects/spring-boot/pull/11439,['izeye'],['Maintainability']
24661,https://github.com/spring-projects/spring-boot/pull/24661,['philwebb'],['Maintainability']
28123,https://github.com/spring-projects/spring-boot/pull/28123,['wilkinsona'],['Maintainability']
12732,https://github.com/spring-projects/spring-boot/pull/12732,"['philwebb', 'dreis2211']",['Maintainability']
15709,https://github.com/spring-projects/spring-boot/pull/15709,['wilkinsona'],['Robustness']
23633,https://github.com/spring-projects/spring-boot/pull/23633,['philwebb'],['Robustness']
13707,https://github.com/spring-projects/spring-boot/pull/13707,"['wilkinsona', 'izeye']",['Maintainability']
7737,https://github.com/spring-projects/spring-boot/pull/7737,['philwebb'],['Maintainability']
15163,https://github.com/spring-projects/spring-boot/pull/15163,"['philwebb', 'wilkinsona']",['Security']
566,https://github.com/spring-projects/spring-boot/pull/566,"['philwebb', 'rwinch']",['Maintainability']
25621,https://github.com/spring-projects/spring-boot/pull/25621,['wilkinsona'],['Maintainability']
27661,https://github.com/spring-projects/spring-boot/pull/27661,['dreis2211'],['Performance']
27755,https://github.com/spring-projects/spring-boot/pull/27755,['wilkinsona'],['Maintainability']
1732,https://github.com/spring-projects/spring-boot/pull/1732,"['philwebb', 'wilkinsona']",['Security']
20857,https://github.com/spring-projects/spring-boot/pull/20857,['philwebb'],['Maintainability']
14653,https://github.com/spring-projects/spring-boot/pull/14653,['philwebb'],['Maintainability']
1545,https://github.com/spring-projects/spring-boot/pull/1545,['wilkinsona'],['Security']
12324,https://github.com/spring-projects/spring-boot/pull/12324,['wilkinsona'],['Maintainability']
20747,https://github.com/spring-projects/spring-boot/pull/20747,['wilkinsona'],['Security']
2779,https://github.com/spring-projects/spring-boot/pull/2779,"['wilkinsona', 'izeye']",['Maintainability']
2922,https://github.com/spring-projects/spring-boot/pull/2922,['philwebb'],['Security']
6876,https://github.com/spring-projects/spring-boot/pull/6876,['philwebb'],['Security']
7262,https://github.com/spring-projects/spring-boot/pull/7262,['wilkinsona'],['Robustness']
15006,https://github.com/spring-projects/spring-boot/pull/15006,['philwebb'],['Robustness']
16717,https://github.com/spring-projects/spring-boot/pull/16717,"['philwebb', 'dreis2211']",['Performance']
20704,https://github.com/spring-projects/spring-boot/pull/20704,['dreis2211'],['Maintainability']
11128,https://github.com/spring-projects/spring-boot/pull/11128,['philwebb'],['Maintainability']
20755,https://github.com/spring-projects/spring-boot/pull/20755,"['wilkinsona', 'dreis2211']",['Performance']
27737,https://github.com/spring-projects/spring-boot/pull/27737,"['philwebb', 'wilkinsona', 'Buzzardo']",['Maintainability']
